City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,weil der stadt,48.75,8.8667,47.98,93,97,3.87,DE,1651348319
1,bredasdorp,-34.5322,20.0403,56.03,86,11,5.48,ZA,1651348319
2,penzance,50.1186,-5.5371,49.69,75,99,2.55,GB,1651348320
3,nicoya,10.1483,-85.452,86.95,60,99,4.92,CR,1651348320
4,stokmarknes,68.5646,14.9108,33.78,75,100,4.61,NO,1651348321
5,vetlanda,57.4289,15.0776,41.47,91,95,2.44,SE,1651348321
6,nantucket,41.2835,-70.0995,53.74,62,0,12.66,US,1651348322
7,bengkulu,-3.8004,102.2655,76.19,88,86,5.19,ID,1651348322
8,qaanaaq,77.484,-69.3632,16.54,76,89,4.25,GL,1651348323
9,holguin,20.8872,-76.2631,83.86,51,54,15.12,CU,1651348323
10,los llanos de aridane,28.6585,-17.9182,65.12,79,20,13.8,ES,1651348323
11,obo,5.3998,26.4869,68.14,91,100,3.67,CF,1651348324
12,kaitangata,-46.2817,169.8464,50.32,84,100,5.82,NZ,1651348324
13,port augusta,-32.5,137.7667,56.23,64,0,3.91,AU,1651348325
14,barcelos,41.5388,-8.6151,62.69,89,1,3.58,PT,1651348325
15,broome,42.2506,-75.833,61.99,27,0,14.97,US,1651348326
16,jamestown,42.097,-79.2353,67.51,22,0,8.05,US,1651348212
17,arraial do cabo,-22.9661,-42.0278,76.86,78,75,5.75,BR,1651348326
18,bambous virieux,-20.3428,57.7575,77.25,83,40,6.91,MU,1651348327
19,grindavik,63.8424,-22.4338,45.07,81,75,19.57,IS,1651348327
20,busselton,-33.65,115.3333,54.99,87,0,5.82,AU,1651348328
21,ancud,-41.8697,-73.8203,52.0,80,100,6.89,CL,1651348033
22,rikitea,-23.1203,-134.9692,75.92,76,51,12.15,PF,1651348149
23,new norfolk,-42.7826,147.0587,56.7,77,100,1.99,AU,1651348329
24,severo-kurilsk,50.6789,156.125,34.41,82,100,7.09,RU,1651348329
25,yerbogachen,61.2767,108.0108,32.02,96,100,2.95,RU,1651348330
26,saldanha,-33.0117,17.9442,57.25,87,8,12.15,ZA,1651348330
27,pevek,69.7008,170.3133,1.87,98,100,4.94,RU,1651348330
28,norman wells,65.282,-126.8329,44.64,53,0,11.5,CA,1651348331
29,honningsvag,70.9821,25.9704,28.15,86,40,12.66,NO,1651348331
30,kavieng,-2.5744,150.7967,81.41,75,100,3.18,PG,1651348083
31,petrolina de goias,-16.095,-49.3381,83.5,40,85,4.43,BR,1651348332
32,east london,-33.0153,27.9116,62.89,71,0,12.64,ZA,1651348333
33,lagoa,39.05,-27.9833,60.98,87,0,10.51,PT,1651348333
34,chapais,49.7834,-74.8492,46.18,58,5,7.81,CA,1651348334
35,ushuaia,-54.8,-68.3,40.66,87,0,3.44,AR,1651348034
36,penapolis,-21.4197,-50.0775,84.85,37,89,7.43,BR,1651348334
37,surab,28.4914,66.2585,72.05,16,5,4.52,PK,1651348335
38,kapaa,22.0752,-159.319,77.47,77,40,17.27,US,1651348335
39,mataura,-46.1927,168.8643,64.47,86,100,3.8,NZ,1651348336
40,hamilton,39.1834,-84.5333,72.75,74,75,5.99,US,1651348336
41,hobart,-42.8794,147.3294,57.06,74,100,5.75,AU,1651348337
42,sunrise,26.1577,-80.2861,85.01,63,40,10.36,US,1651348178
43,albany,42.6001,-73.9662,64.02,26,89,1.01,US,1651348337
44,cabedelo,-6.9811,-34.8339,83.07,75,100,15.37,BR,1651348338
45,hilo,19.7297,-155.09,77.29,93,100,5.75,US,1651348124
46,khatanga,71.9667,102.5,3.4,99,92,7.54,RU,1651348169
47,turayf,31.6725,38.6637,79.05,24,0,19.57,SA,1651348235
48,faanui,-16.4833,-151.75,81.3,72,9,15.73,PF,1651348296
49,puerto ayora,-0.7393,-90.3518,80.56,78,89,8.7,EC,1651348099
50,morant bay,17.8815,-76.4093,87.71,71,30,12.1,JM,1651348339
51,vardo,70.3705,31.1107,28.09,65,90,16.82,NO,1651348339
52,punta arenas,-53.15,-70.9167,44.71,76,40,9.22,CL,1651348340
